locus_tag	ftype	length_bp	gene	EC_number	COG	product
EKCPCKJH_00001	CDS	1335	dnaA		COG0593	Chromosomal replication initiator protein DnaA
EKCPCKJH_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
EKCPCKJH_00003	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
EKCPCKJH_00004	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
EKCPCKJH_00005	CDS	399				hypothetical protein
EKCPCKJH_00006	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
EKCPCKJH_00007	CDS	657				hypothetical protein
EKCPCKJH_00008	CDS	690	lutR		COG2186	HTH-type transcriptional regulator LutR
EKCPCKJH_00009	CDS	879	dgoK1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
EKCPCKJH_00010	CDS	618	dgoA	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
EKCPCKJH_00011	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
EKCPCKJH_00012	CDS	1293	dgoT			D-galactonate transporter
EKCPCKJH_00013	CDS	1065	cbrA		COG0644	Protein CbrA
EKCPCKJH_00014	CDS	1215				hypothetical protein
EKCPCKJH_00015	CDS	261				hypothetical protein
EKCPCKJH_00016	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
EKCPCKJH_00017	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
EKCPCKJH_00018	CDS	1662	aspT_1			Aspartate/alanine antiporter
EKCPCKJH_00019	CDS	717	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
EKCPCKJH_00020	CDS	1617				hypothetical protein
EKCPCKJH_00021	CDS	639	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
EKCPCKJH_00022	CDS	894	rhaR_1			HTH-type transcriptional activator RhaR
EKCPCKJH_00023	CDS	1716	yidK		COG4146	putative symporter YidK
EKCPCKJH_00024	CDS	1494		3.1.6.-		Ulvan-active sulfatase
EKCPCKJH_00025	CDS	450	yidI			Inner membrane protein YidI
EKCPCKJH_00026	CDS	348	yidH		COG2149	Inner membrane protein YidH
EKCPCKJH_00027	CDS	363	yidG			Inner membrane protein YidG
EKCPCKJH_00028	CDS	498				hypothetical protein
EKCPCKJH_00029	CDS	1185	emrD			Multidrug resistance protein D
EKCPCKJH_00030	CDS	90	tisB			Small toxic protein TisB
EKCPCKJH_00031	CDS	99				hypothetical protein
EKCPCKJH_00032	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
EKCPCKJH_00033	CDS	291	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
EKCPCKJH_00034	CDS	591	uhpA		COG2197	Transcriptional regulatory protein UhpA
EKCPCKJH_00035	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
EKCPCKJH_00036	CDS	1320	uhpC		COG2271	Membrane sensor protein UhpC
EKCPCKJH_00037	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
EKCPCKJH_00038	CDS	1767	ade	3.5.4.2	COG1001	Adenine deaminase
EKCPCKJH_00039	CDS	1335	adeQ		COG2252	Adenine permease AdeQ
EKCPCKJH_00040	CDS	453				hypothetical protein
EKCPCKJH_00041	CDS	1239	nepI		COG2814	Purine ribonucleoside efflux pump NepI
EKCPCKJH_00042	CDS	294				hypothetical protein
EKCPCKJH_00043	CDS	819	nlpA		COG1464	Lipoprotein 28
EKCPCKJH_00044	CDS	924	yicL		COG0697	putative inner membrane transporter YicL
EKCPCKJH_00045	CDS	504	setC_1			Sugar efflux transporter C
EKCPCKJH_00046	CDS	684	setC_2			Sugar efflux transporter C
EKCPCKJH_00047	CDS	141				hypothetical protein
EKCPCKJH_00048	tRNA	95				tRNA-SeC(tca)
EKCPCKJH_00049	CDS	1383	yicJ_1		COG2211	Inner membrane symporter YicJ
EKCPCKJH_00050	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
EKCPCKJH_00051	CDS	1710				hypothetical protein
EKCPCKJH_00052	CDS	1392	xanP		COG2233	Xanthine permease XanP
EKCPCKJH_00053	CDS	1206	gltS		COG0786	Sodium/glutamate symporter
EKCPCKJH_00054	CDS	867				hypothetical protein
EKCPCKJH_00055	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
EKCPCKJH_00056	CDS	690	trmH_1	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
EKCPCKJH_00057	CDS	2109	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
EKCPCKJH_00058	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
EKCPCKJH_00059	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
EKCPCKJH_00060	CDS	1683	ligB	6.5.1.2	COG0272	DNA ligase B
EKCPCKJH_00061	CDS	618				hypothetical protein
EKCPCKJH_00062	CDS	825				hypothetical protein
EKCPCKJH_00063	CDS	864				hypothetical protein
EKCPCKJH_00064	CDS	717	rph	2.7.7.56		Ribonuclease PH
EKCPCKJH_00065	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
EKCPCKJH_00066	CDS	597	slmA			Nucleoid occlusion factor SlmA
EKCPCKJH_00067	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
EKCPCKJH_00068	CDS	1221	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
EKCPCKJH_00069	CDS	669				hypothetical protein
EKCPCKJH_00070	CDS	237	rpmB		COG0227	50S ribosomal protein L28
EKCPCKJH_00071	CDS	168	rpmG		COG0267	50S ribosomal protein L33
EKCPCKJH_00072	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
EKCPCKJH_00073	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
EKCPCKJH_00074	CDS	1278	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
EKCPCKJH_00075	CDS	1059	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
EKCPCKJH_00076	CDS	1125	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
EKCPCKJH_00077	CDS	798	rfaP	2.7.1.-		Lipopolysaccharide core heptose(I) kinase RfaP
EKCPCKJH_00078	CDS	1017				hypothetical protein
EKCPCKJH_00079	CDS	996				hypothetical protein
EKCPCKJH_00080	CDS	693	rfaY	2.7.1.-		Lipopolysaccharide core heptose(II) kinase RfaY
EKCPCKJH_00081	CDS	1029	gspA_1		COG1442	General stress protein A
EKCPCKJH_00082	CDS	984	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
EKCPCKJH_00083	CDS	1254	rfaL			O-antigen ligase
EKCPCKJH_00084	CDS	981	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
EKCPCKJH_00085	CDS	1047	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
EKCPCKJH_00086	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
EKCPCKJH_00087	CDS	1197	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
EKCPCKJH_00088	CDS	1026	tdh_1	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
EKCPCKJH_00089	CDS	1035	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
EKCPCKJH_00090	CDS	960				hypothetical protein
EKCPCKJH_00091	CDS	1260	envC		COG4942	Murein hydrolase activator EnvC
